Date:  12:11, Monday, March 01, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Radial Stress
Reference geometry: Axis1
Result Type: SX 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
51  ,-7.242e+07  ,37.88999939  ,0.00000000  ,0.00000000
22003  ,-6.079e+07  ,39.17499924  ,0.00000000  ,0.00000000
912  ,-4.824e+07  ,40.46000290  ,0.00000000  ,0.00000000
16177  ,-3.567e+07  ,41.74499893  ,0.00000000  ,0.00000000
911  ,-2.547e+07  ,43.03000259  ,0.00000000  ,0.00000000
16181  ,-1.655e+07  ,44.31499863  ,0.00000000  ,0.00000000
910  ,-9.264e+06  ,45.60000229  ,0.00000000  ,0.00000000
16186  ,-2.863e+06  ,46.88499832  ,0.00000000  ,0.00000000
909  ,2.453e+06  ,48.17000198  ,0.00000000  ,0.00000000
16192  ,7.823e+06  ,49.45499802  ,0.00000000  ,0.00000000
908  ,1.163e+07  ,50.74000168  ,0.00000000  ,0.00000000
16199  ,1.597e+07  ,52.02500153  ,0.00000000  ,0.00000000
907  ,1.839e+07  ,53.30999756  ,0.00000000  ,0.00000000
16206  ,2.076e+07  ,54.59500122  ,0.00000000  ,0.00000000
906  ,2.245e+07  ,55.87999725  ,0.00000000  ,0.00000000
16213  ,2.393e+07  ,57.16500092  ,0.00000000  ,0.00000000
905  ,2.515e+07  ,58.44999695  ,0.00000000  ,0.00000000
16220  ,2.625e+07  ,59.73500061  ,0.00000000  ,0.00000000
904  ,2.633e+07  ,61.02000046  ,0.00000000  ,0.00000000
16227  ,2.613e+07  ,62.30500031  ,0.00000000  ,0.00000000
903  ,2.533e+07  ,63.58999634  ,0.00000000  ,0.00000000
16234  ,2.449e+07  ,64.87500000  ,0.00000000  ,0.00000000
902  ,2.349e+07  ,66.16000366  ,0.00000000  ,0.00000000
16240  ,2.228e+07  ,67.44499969  ,0.00000000  ,0.00000000
901  ,2.109e+07  ,68.72999573  ,0.00000000  ,0.00000000
16246  ,1.918e+07  ,70.01499939  ,0.00000000  ,0.00000000
900  ,1.723e+07  ,71.30000305  ,0.00000000  ,0.00000000
16252  ,1.482e+07  ,72.58499908  ,0.00000000  ,0.00000000
899  ,1.235e+07  ,73.87000275  ,0.00000000  ,0.00000000
16257  ,9.501e+06  ,75.15499878  ,0.00000000  ,0.00000000
898  ,6.613e+06  ,76.44000244  ,0.00000000  ,0.00000000
17530  ,3.457e+06  ,77.72499847  ,0.00000000  ,0.00000000
694  ,6.812e+04  ,79.01000214  ,0.00000000  ,-0.00000000
