Date:  17:08, Monday, March 01, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Hoop Stress
Reference geometry: Axis1
Result Type: SY 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
46  ,5.272e+08  ,50.00000000  ,0.00000000  ,0.00000000
11983  ,5.099e+08  ,51.92307663  ,0.00000000  ,0.00000000
652  ,4.925e+08  ,53.84615326  ,0.00000000  ,0.00000000
8061  ,4.763e+08  ,55.76922989  ,0.00000000  ,0.00000000
651  ,4.614e+08  ,57.69230652  ,0.00000000  ,0.00000000
8068  ,4.471e+08  ,59.61538315  ,0.00000000  ,0.00000000
650  ,4.321e+08  ,61.53845978  ,0.00000000  ,0.00000000
8073  ,4.194e+08  ,63.46154022  ,0.00000000  ,0.00000000
649  ,4.061e+08  ,65.38462067  ,0.00000000  ,0.00000000
8078  ,3.951e+08  ,67.30769348  ,0.00000000  ,0.00000000
648  ,3.841e+08  ,69.23077393  ,0.00000000  ,0.00000000
8084  ,3.737e+08  ,71.15384674  ,0.00000000  ,0.00000000
647  ,3.651e+08  ,73.07692719  ,0.00000000  ,0.00000000
8091  ,3.563e+08  ,75.00000000  ,0.00000000  ,0.00000000
646  ,3.469e+08  ,76.92308044  ,0.00000000  ,0.00000000
8097  ,3.389e+08  ,78.84615326  ,0.00000000  ,0.00000000
645  ,3.310e+08  ,80.76923370  ,0.00000000  ,0.00000000
8102  ,3.229e+08  ,82.69230652  ,0.00000000  ,0.00000000
644  ,3.145e+08  ,84.61538696  ,0.00000000  ,0.00000000
8107  ,3.072e+08  ,86.53846741  ,0.00000000  ,0.00000000
643  ,2.999e+08  ,88.46154022  ,0.00000000  ,0.00000000
8114  ,2.943e+08  ,90.38462067  ,0.00000000  ,0.00000000
642  ,2.883e+08  ,92.30769348  ,0.00000000  ,0.00000000
8120  ,2.824e+08  ,94.23077393  ,0.00000000  ,0.00000000
641  ,2.764e+08  ,96.15384674  ,0.00000000  ,0.00000000
8885  ,2.704e+08  ,98.07692719  ,0.00000000  ,0.00000000
505  ,2.644e+08  ,100.00000000  ,0.00000000  ,-0.00000000
