Date:  13:15, Monday, March 01, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Radial Stress
Reference geometry: Axis1
Result Type: SX 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
46  ,-6.894e+07  ,50.00000000  ,0.00000000  ,0.00000000
11983  ,-5.252e+07  ,51.92307663  ,0.00000000  ,0.00000000
652  ,-3.440e+07  ,53.84615326  ,0.00000000  ,0.00000000
8061  ,-2.190e+07  ,55.76922989  ,0.00000000  ,0.00000000
651  ,-1.494e+07  ,57.69230652  ,0.00000000  ,0.00000000
8068  ,-1.574e+06  ,59.61538315  ,0.00000000  ,0.00000000
650  ,6.134e+06  ,61.53845978  ,0.00000000  ,0.00000000
8073  ,1.519e+07  ,63.46154022  ,0.00000000  ,0.00000000
649  ,2.224e+07  ,65.38462067  ,0.00000000  ,0.00000000
8078  ,2.701e+07  ,67.30769348  ,0.00000000  ,0.00000000
648  ,3.156e+07  ,69.23077393  ,0.00000000  ,0.00000000
8084  ,3.594e+07  ,71.15384674  ,0.00000000  ,0.00000000
647  ,3.541e+07  ,73.07692719  ,0.00000000  ,0.00000000
8091  ,3.730e+07  ,75.00000000  ,0.00000000  ,0.00000000
646  ,3.740e+07  ,76.92308044  ,0.00000000  ,0.00000000
8097  ,3.775e+07  ,78.84615326  ,0.00000000  ,0.00000000
645  ,3.583e+07  ,80.76923370  ,0.00000000  ,0.00000000
8102  ,3.548e+07  ,82.69230652  ,0.00000000  ,0.00000000
644  ,3.405e+07  ,84.61538696  ,0.00000000  ,0.00000000
8107  ,3.132e+07  ,86.53846741  ,0.00000000  ,0.00000000
643  ,2.761e+07  ,88.46154022  ,0.00000000  ,0.00000000
8114  ,2.352e+07  ,90.38462067  ,0.00000000  ,0.00000000
642  ,1.963e+07  ,92.30769348  ,0.00000000  ,0.00000000
8120  ,1.486e+07  ,94.23077393  ,0.00000000  ,0.00000000
641  ,9.995e+06  ,96.15384674  ,0.00000000  ,0.00000000
8885  ,5.398e+06  ,98.07692719  ,0.00000000  ,0.00000000
505  ,-3.296e+05  ,100.00000000  ,0.00000000  ,-0.00000000
