Date:  10:09, Friday, February 26, 2021
Model name: glass rim
Study name: Shear Stress(-Shear Str Paper-)
Plot type: Static nodal stress Hoop Stress
Reference geometry: Axis1
Result Type: SY 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
8  ,4.144e+08  ,1.96850395  ,0.00000000  ,0.00000000
4146  ,4.020e+08  ,2.03001976  ,0.00000000  ,0.00000000
233  ,3.901e+08  ,2.09153557  ,0.00000000  ,0.00000000
4145  ,3.787e+08  ,2.15305114  ,0.00000000  ,0.00000000
225  ,3.680e+08  ,2.21456695  ,0.00000000  ,0.00000000
4144  ,3.580e+08  ,2.27608275  ,0.00000000  ,0.00000000
232  ,3.485e+08  ,2.33759832  ,0.00000000  ,0.00000000
4143  ,3.395e+08  ,2.39911413  ,0.00000000  ,0.00000000
221  ,3.308e+08  ,2.46062994  ,0.00000000  ,0.00000000
4142  ,3.228e+08  ,2.52214575  ,0.00000000  ,0.00000000
231  ,3.149e+08  ,2.58366132  ,0.00000000  ,0.00000000
4141  ,3.075e+08  ,2.64517736  ,0.00000000  ,0.00000000
224  ,3.004e+08  ,2.70669293  ,0.00000000  ,0.00000000
4140  ,2.937e+08  ,2.76820874  ,0.00000000  ,0.00000000
230  ,2.872e+08  ,2.82972431  ,0.00000000  ,0.00000000
4139  ,2.810e+08  ,2.89124012  ,0.00000000  ,0.00000000
219  ,2.750e+08  ,2.95275593  ,0.00000000  ,0.00000000
4138  ,2.694e+08  ,3.01427174  ,0.00000000  ,0.00000000
229  ,2.638e+08  ,3.07578754  ,0.00000000  ,0.00000000
4137  ,2.586e+08  ,3.13730311  ,0.00000000  ,0.00000000
223  ,2.534e+08  ,3.19881892  ,0.00000000  ,0.00000000
4136  ,2.486e+08  ,3.26033473  ,0.00000000  ,0.00000000
228  ,2.438e+08  ,3.32185054  ,0.00000000  ,0.00000000
4135  ,2.393e+08  ,3.38336611  ,0.00000000  ,0.00000000
220  ,2.348e+08  ,3.44488192  ,0.00000000  ,0.00000000
4134  ,2.306e+08  ,3.50639749  ,0.00000000  ,0.00000000
227  ,2.264e+08  ,3.56791353  ,0.00000000  ,0.00000000
4133  ,2.225e+08  ,3.62942910  ,0.00000000  ,0.00000000
222  ,2.186e+08  ,3.69094491  ,0.00000000  ,0.00000000
4132  ,2.148e+08  ,3.75246072  ,0.00000000  ,0.00000000
226  ,2.112e+08  ,3.81397629  ,0.00000000  ,0.00000000
4131  ,2.076e+08  ,3.87549233  ,0.00000000  ,0.00000000
7  ,2.041e+08  ,3.93700790  ,0.00000000  ,0.00000000
