Date:  10:11, Friday, February 26, 2021
Model name: glass rim
Study name: Shear Stress(-Shear Str Paper-)
Plot type: Static nodal stress Radial Stress
Reference geometry: Axis1
Result Type: SX 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
8  ,-2.995e+07  ,1.96850395  ,0.00000000  ,0.00000000
4146  ,-2.010e+07  ,2.03001976  ,0.00000000  ,0.00000000
233  ,-1.174e+07  ,2.09153557  ,0.00000000  ,0.00000000
4145  ,-3.499e+06  ,2.15305114  ,0.00000000  ,0.00000000
225  ,3.703e+06  ,2.21456695  ,0.00000000  ,0.00000000
4144  ,9.166e+06  ,2.27608275  ,0.00000000  ,0.00000000
232  ,1.403e+07  ,2.33759832  ,0.00000000  ,0.00000000
4143  ,1.840e+07  ,2.39911413  ,0.00000000  ,0.00000000
221  ,2.224e+07  ,2.46062994  ,0.00000000  ,0.00000000
4142  ,2.575e+07  ,2.52214575  ,0.00000000  ,0.00000000
231  ,2.833e+07  ,2.58366132  ,0.00000000  ,0.00000000
4141  ,3.006e+07  ,2.64517736  ,0.00000000  ,0.00000000
224  ,3.168e+07  ,2.70669293  ,0.00000000  ,0.00000000
4140  ,3.306e+07  ,2.76820874  ,0.00000000  ,0.00000000
230  ,3.376e+07  ,2.82972431  ,0.00000000  ,0.00000000
4139  ,3.389e+07  ,2.89124012  ,0.00000000  ,0.00000000
219  ,3.374e+07  ,2.95275593  ,0.00000000  ,0.00000000
4138  ,3.391e+07  ,3.01427174  ,0.00000000  ,0.00000000
229  ,3.333e+07  ,3.07578754  ,0.00000000  ,0.00000000
4137  ,3.246e+07  ,3.13730311  ,0.00000000  ,0.00000000
223  ,3.123e+07  ,3.19881892  ,0.00000000  ,0.00000000
4136  ,2.978e+07  ,3.26033473  ,0.00000000  ,0.00000000
228  ,2.796e+07  ,3.32185054  ,0.00000000  ,0.00000000
4135  ,2.621e+07  ,3.38336611  ,0.00000000  ,0.00000000
220  ,2.406e+07  ,3.44488192  ,0.00000000  ,0.00000000
4134  ,2.140e+07  ,3.50639749  ,0.00000000  ,0.00000000
227  ,1.902e+07  ,3.56791353  ,0.00000000  ,0.00000000
4133  ,1.660e+07  ,3.62942910  ,0.00000000  ,0.00000000
222  ,1.344e+07  ,3.69094491  ,0.00000000  ,0.00000000
4132  ,1.033e+07  ,3.75246072  ,0.00000000  ,0.00000000
226  ,6.999e+06  ,3.81397629  ,0.00000000  ,0.00000000
4131  ,3.732e+06  ,3.87549233  ,0.00000000  ,0.00000000
7  ,1.015e+05  ,3.93700790  ,0.00000000  ,0.00000000
