radius,stress [Mpa]
0.100939158,28.29392844
0.103957957,26.25854457
0.105765314,25.16985847
0.109966143,23.1818585
0.115939316,21.288603
0.119531623,19.86862637
0.129077496,17.21811536
0.138023251,14.85160434
0.150516496,12.57990782
0.166561434,10.26101413
0.186149661,8.178946607
0.206905913,6.617635216
0.246017943,4.631012417
0.305238489,2.976543799
0.360885636,2.102999308
0.422442232,1.490042961
0.478073973,1.137207921
0.532520882,0.83166342
0.590515983,0.597264805
0.644958691,0.433731973
0.696442122,0.293751043
0.752067561,0.153933506
0.794080046,0.131922164
